,mean_test_score,mean_fit_time,params,rank_test_scores,status,budgets,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_regressor:__choice__,param_regressor:liblinear_svr:C,param_regressor:liblinear_svr:dual,param_regressor:liblinear_svr:epsilon,param_regressor:liblinear_svr:fit_intercept,param_regressor:liblinear_svr:intercept_scaling,param_regressor:liblinear_svr:loss,param_regressor:liblinear_svr:tol,param_regressor:random_forest:bootstrap,param_regressor:random_forest:criterion,param_regressor:random_forest:max_depth,param_regressor:random_forest:max_features,param_regressor:random_forest:max_leaf_nodes,param_regressor:random_forest:min_impurity_decrease,param_regressor:random_forest:min_samples_leaf,param_regressor:random_forest:min_samples_split,param_regressor:random_forest:min_weight_fraction_leaf,param_regressor:sgd:alpha,param_regressor:sgd:average,param_regressor:sgd:fit_intercept,param_regressor:sgd:learning_rate,param_regressor:sgd:loss,param_regressor:sgd:penalty,param_regressor:sgd:tol,param_regressor:sgd:epsilon,param_regressor:sgd:eta0,param_regressor:sgd:l1_ratio,param_regressor:sgd:power_t
0,20991159.99074458,1.4558796882629395,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 1.0, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 1, 'regressor:random_forest:min_samples_split': 2, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",234,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,True,mse,None,1.0,None,0.0,1.0,2.0,0.0,,,,,,,,,,,
1,48742185.80419773,0.352860689163208,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'sgd', 'regressor:sgd:alpha': 1.964717151882485e-06, 'regressor:sgd:average': 'False', 'regressor:sgd:fit_intercept': 'True', 'regressor:sgd:learning_rate': 'optimal', 'regressor:sgd:loss': 'huber', 'regressor:sgd:penalty': 'l2', 'regressor:sgd:tol': 0.018295484560765917, 'regressor:sgd:epsilon': 0.002185604769767247}",1612,Success,0.0,NoPreprocessing,no_preprocessing,sgd,,,,,,,,,,,,,,,,,1.964717151882485e-06,False,True,optimal,huber,l2,0.018295484560765917,0.002185604769767247,,,
2,48235106.87779276,0.28186607360839844,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'sgd', 'regressor:sgd:alpha': 1.4584326321982225e-07, 'regressor:sgd:average': 'False', 'regressor:sgd:fit_intercept': 'True', 'regressor:sgd:learning_rate': 'constant', 'regressor:sgd:loss': 'squared_loss', 'regressor:sgd:penalty': 'l1', 'regressor:sgd:tol': 0.022794982100263858, 'regressor:sgd:eta0': 0.06787675950584468}",1603,Success,0.0,NoPreprocessing,no_preprocessing,sgd,,,,,,,,,,,,,,,,,1.4584326321982225e-07,False,True,constant,squared_loss,l1,0.022794982100263858,,0.06787675950584468,,
3,20090406.9702243,3.1441569328308105,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mae', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.9473793754831856, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 17, 'regressor:random_forest:min_samples_split': 15, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",186,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,True,mae,None,0.9473793754831856,None,0.0,17.0,15.0,0.0,,,,,,,,,,,
4,34378539.26593931,0.2845726013183594,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'liblinear_svr', 'regressor:liblinear_svr:C': 553.1816294738262, 'regressor:liblinear_svr:dual': 'False', 'regressor:liblinear_svr:epsilon': 0.12437545583018453, 'regressor:liblinear_svr:fit_intercept': 'True', 'regressor:liblinear_svr:intercept_scaling': 1, 'regressor:liblinear_svr:loss': 'squared_epsilon_insensitive', 'regressor:liblinear_svr:tol': 0.003472981073760073}",635,Success,0.0,NoPreprocessing,no_preprocessing,liblinear_svr,553.1816294738262,False,0.12437545583018453,True,1.0,squared_epsilon_insensitive,0.003472981073760073,,,,,,,,,,,,,,,,,,,,
5,63992635.2194392,0.8179049491882324,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'False', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.15487038672491377, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 16, 'regressor:random_forest:min_samples_split': 6, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",1723,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,False,mse,None,0.15487038672491377,None,0.0,16.0,6.0,0.0,,,,,,,,,,,
6,53629876.948636115,0.9415817260742188,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.18392327132015557, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 6, 'regressor:random_forest:min_samples_split': 16, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",1653,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,True,mse,None,0.18392327132015557,None,0.0,6.0,16.0,0.0,,,,,,,,,,,
7,19798874.11589623,1.2454335689544678,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'friedman_mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.6352274678928874, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 12, 'regressor:random_forest:min_samples_split': 10, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",160,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,True,friedman_mse,None,0.6352274678928874,None,0.0,12.0,10.0,0.0,,,,,,,,,,,
8,21938184.853473693,1.1260120868682861,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'False', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.9706918436338938, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 2, 'regressor:random_forest:min_samples_split': 12, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",262,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,False,mse,None,0.9706918436338938,None,0.0,2.0,12.0,0.0,,,,,,,,,,,
9,19123371.548594147,0.8802640438079834,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'False', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.7209511939241661, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 20, 'regressor:random_forest:min_samples_split': 10, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",92,Success,0.0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,False,mse,None,0.7209511939241661,None,0.0,20.0,10.0,0.0,,,,,,,,,,,
